000026-0-000,Actinokineospora_fastidiosa
02842-0-001,Acholeplasma_laidlawii
02843-0-000,Acholeplasma_laidlawii
02843-0-001,Acholeplasma_laidlawii
02858-0-002,Acholeplasma_laidlawii
02869-0-000,Acholeplasma_laidlawii
029041-0-000,Acholeplasma_laidlawii
63437-0-000,Acholeplasma_laidlawii
65013-0-000,Acholeplasma_laidlawii
65013-0-001,Acholeplasma_laidlawii
65013-0-002,Acholeplasma_laidlawii
65013-0-003,Acholeplasma_laidlawii
65013-0-004,Acholeplasma_laidlawii
65013-0-005,Acholeplasma_laidlawii
010249-0-003,Acholeplasma_palmae
010413-0-000,Acholeplasma_palmae
02843-0-000,Acholeplasma_palmae
029041-0-000,Acholeplasma_palmae
63935-0-002,Acholeplasma_palmae
64251-0-002,Acholeplasma_palmae
64851-0-002,Acholeplasma_palmae
65013-0-000,Acholeplasma_palmae
65013-0-001,Acholeplasma_palmae
65013-0-002,Acholeplasma_palmae
65013-0-003,Acholeplasma_palmae
65013-0-004,Acholeplasma_palmae
65013-0-005,Acholeplasma_palmae
65615-0-001,Acholeplasma_palmae
65868-0-002,Acholeplasma_palmae
64297-0-002,Achromatium_oxaliferum
65156-0-000,Achromatium_oxaliferum
007443-0-000,Achromobacter_denitrificans
009720-0-000,Achromobacter_denitrificans
016576-0-000,Achromobacter_denitrificans
018358-0-000,Achromobacter_denitrificans
018739-0-000,Achromobacter_denitrificans
020404-0-000,Achromobacter_denitrificans
025304-0-000,Achromobacter_denitrificans
029892-0-000,Achromobacter_denitrificans
63466-0-000,Achromobacter_denitrificans
63595-0-002,Achromobacter_denitrificans
63989-0-000,Achromobacter_denitrificans
65314-0-000,Achromobacter_denitrificans
002949-0-000,Achromobacter_insolitus
020404-0-000,Achromobacter_insolitus
025304-0-000,Achromobacter_insolitus
02698-0-000,Achromobacter_insolitus
007443-0-000,Achromobacter_piechaudii
025304-0-000,Achromobacter_piechaudii
002949-0-000,Achromobacter_spanius
018358-0-000,Achromobacter_spanius
020404-0-000,Achromobacter_spanius
021188-0-000,Achromobacter_spanius
025304-0-000,Achromobacter_spanius
002949-0-000,Achromobacter_xylosoxidans
007120-0-000,Achromobacter_xylosoxidans
007443-0-000,Achromobacter_xylosoxidans
009720-0-000,Achromobacter_xylosoxidans
016576-0-000,Achromobacter_xylosoxidans
018358-0-000,Achromobacter_xylosoxidans
018887-0-000,Achromobacter_xylosoxidans
020404-0-000,Achromobacter_xylosoxidans
021188-0-000,Achromobacter_xylosoxidans
023556-0-000,Achromobacter_xylosoxidans
025304-0-000,Achromobacter_xylosoxidans
02555-0-000,Achromobacter_xylosoxidans
02609-0-001,Achromobacter_xylosoxidans
02698-0-000,Achromobacter_xylosoxidans
63267-0-001,Achromobacter_xylosoxidans
63466-0-000,Achromobacter_xylosoxidans
63989-0-000,Achromobacter_xylosoxidans
64126-0-001,Achromobacter_xylosoxidans
64299-0-000,Achromobacter_xylosoxidans
64611-0-000,Achromobacter_xylosoxidans
64771-0-001,Achromobacter_xylosoxidans
64901-0-000,Achromobacter_xylosoxidans
65456-0-000,Achromobacter_xylosoxidans
002816-0-001,Acidaminobacter_hydrogenoformans
004218-0-001,Acidaminobacter_hydrogenoformans
026989-0-001,Acidaminobacter_hydrogenoformans
63926-0-000,Acidaminobacter_hydrogenoformans
008151-0-001,Acidaminococcus_fermentans
2008_000810-0-000,Acidaminococcus_fermentans
2008_001032-0-000,Acidaminococcus_fermentans
64221-0-003,Acidaminococcus_fermentans
64883-0-000,Acidaminococcus_fermentans
65150-0-000,Acidaminococcus_fermentans
65456-0-002,Acidaminococcus_fermentans
013102-0-000,Acidaminococcus_intestini
64883-0-000,Acidaminococcus_intestini
026591-0-001,Acidianus_ambivalens
02716-0-000,Acidianus_ambivalens
64846-0-002,Acidianus_ambivalens
026591-0-001,Acidianus_brierleyi
02716-0-000,Acidianus_brierleyi
64846-0-002,Acidianus_brierleyi
026591-0-001,Acidianus_infernus
02716-0-000,Acidianus_infernus
64846-0-002,Acidianus_infernus
026591-0-001,Acidianus_manzaensis
64846-0-002,Acidianus_manzaensis
026591-0-001,Acidianus_sulfidivorans
64846-0-002,Acidianus_sulfidivorans
026591-0-001,Acidianus_tengchongensis
64846-0-002,Acidianus_tengchongensis
006726-0-001,Acidilobus_aceticus
02580-0-001,Acidilobus_aceticus
63378-0-002,Acidilobus_aceticus
63899-0-002,Acidilobus_aceticus
005611-0-000,Acidimicrobium_ferrooxidans
016543-0-000,Acidimicrobium_ferrooxidans
018069-0-001,Acidimicrobium_ferrooxidans
023044-0-001,Acidimicrobium_ferrooxidans
02400-0-003,Acidimicrobium_ferrooxidans
027482-0-001,Acidimicrobium_ferrooxidans
65409-0-003,Acidimicrobium_ferrooxidans
004812-0-000,Acidiphilium_cryptum
009209-0-001,Acidiphilium_cryptum
026930-0-000,Acidiphilium_cryptum
02946-0-001,Acidiphilium_cryptum
63764-0-002,Acidiphilium_cryptum
64412-0-000,Acidiphilium_cryptum
009209-0-001,Acidiphilium_organovorum
63663-0-001,Acidiphilium_organovorum
009639-0-003,Acidiplasma_cupricumulans
65203-0-001,Acidiplasma_cupricumulans
009209-0-001,Acidisoma_tundrae
026625-0-001,Acidisoma_tundrae
026625-0-001,Acidisphaera_rubrifaciens
63663-0-001,Acidisphaera_rubrifaciens
65294-0-000,Acidisphaera_rubrifaciens
002808-0-001,Acidithiobacillus_albertensis
019380-0-000,Acidithiobacillus_albertensis
65244-0-001,Acidithiobacillus_albertensis
002808-0-001,Acidithiobacillus_caldus
02319-0-002,Acidithiobacillus_caldus
64297-0-002,Acidithiobacillus_caldus
65059-0-000,Acidithiobacillus_caldus
012880-0-003,Acidithiobacillus_ferrooxidans
015511-0-001,Acidithiobacillus_ferrooxidans
02319-0-002,Acidithiobacillus_ferrooxidans
2008_000166-0-003,Acidithiobacillus_ferrooxidans
63415-0-003,Acidithiobacillus_ferrooxidans
64445-0-001,Acidithiobacillus_ferrooxidans
64955-0-001,Acidithiobacillus_ferrooxidans
64955-0-002,Acidithiobacillus_ferrooxidans
65041-0-001,Acidithiobacillus_ferrooxidans
65041-0-002,Acidithiobacillus_ferrooxidans
65112-0-001,Acidithiobacillus_ferrooxidans
65654-0-002,Acidithiobacillus_ferrooxidans
015511-0-001,Acidithiobacillus_thiooxidans
02319-0-002,Acidithiobacillus_thiooxidans
026963-0-001,Acidithiobacillus_thiooxidans
64938-0-000,Acidithiobacillus_thiooxidans
65754-0-002,Acidithiobacillus_thiooxidans
021824-0-001,Acidobacteria_bacterium
65589-0-000,Acidobacteria_bacterium
013250-0-001,Acidobacteriaceae_bacterium
021824-0-001,Acidobacteriaceae_bacterium
021824-0-001,Acidobacterium_capsulatum
026005-0-000,Acidobacterium_capsulatum
009209-0-001,Acidocella_aminolytica
011569-0-000,Acidocella_aminolytica
63663-0-001,Acidocella_aminolytica
011569-0-000,Acidocella_facilis
026625-0-001,Acidocella_facilis
026930-0-000,Acidocella_facilis
63663-0-001,Acidocella_facilis
65294-0-000,Acidocella_facilis
021543-0-000,Acidomonas_methanolica
026625-0-001,Acidomonas_methanolica
02911-0-000,Acidomonas_methanolica
02946-0-001,Acidomonas_methanolica
46000-0-000,Acidomonas_methanolica
63252-0-001,Acidomonas_methanolica
63252-0-002,Acidomonas_methanolica
63301-0-000,Acidomonas_methanolica
64101-0-000,Acidomonas_methanolica
64412-0-000,Acidomonas_methanolica
64638-0-000,Acidomonas_methanolica
64678-0-000,Acidomonas_methanolica
64840-0-000,Acidomonas_methanolica
65778-0-001,Acidomonas_methanolica
008599-0-000,Acidothermus_cellulolyticus
010199-0-000,Acidothermus_cellulolyticus
02425-0-001,Acidothermus_cellulolyticus
02425-0-002,Acidothermus_cellulolyticus
02745-0-001,Acidothermus_cellulolyticus
63583-0-001,Acidothermus_cellulolyticus
63859-0-002,Acidothermus_cellulolyticus
64081-0-001,Acidothermus_cellulolyticus
64128-0-001,Acidothermus_cellulolyticus
64246-0-000,Acidothermus_cellulolyticus
64268-0-000,Acidothermus_cellulolyticus
64298-0-000,Acidothermus_cellulolyticus
64932-0-003,Acidothermus_cellulolyticus
65512-0-000,Acidothermus_cellulolyticus
65558-0-000,Acidothermus_cellulolyticus
020818-0-000,Acidovorax_anthurii
025296-0-001,Acidovorax_anthurii
02727-0-001,Acidovorax_anthurii
02749-0-007,Acidovorax_anthurii
64390-0-000,Acidovorax_anthurii
65174-0-000,Acidovorax_anthurii
65175-0-000,Acidovorax_anthurii
65387-0-000,Acidovorax_anthurii
020818-0-000,Acidovorax_avenae
02404-0-002,Acidovorax_avenae
02482-0-001,Acidovorax_avenae
02727-0-001,Acidovorax_avenae
63524-0-001,Acidovorax_avenae
64027-0-000,Acidovorax_avenae
64070-0-000,Acidovorax_avenae
64390-0-000,Acidovorax_avenae
65174-0-000,Acidovorax_avenae
65175-0-000,Acidovorax_avenae
006791-0-000,Acidovorax_caeni
019661-0-000,Acidovorax_caeni
020818-0-000,Acidovorax_caeni
025296-0-001,Acidovorax_caeni
65387-0-000,Acidovorax_caeni
02404-0-002,Acidovorax_cattleyae
65174-0-000,Acidovorax_cattleyae
65387-0-000,Acidovorax_cattleyae
02298-0-004,Acidovorax_citrulli
02404-0-002,Acidovorax_citrulli
65174-0-000,Acidovorax_citrulli
001669-0-000,Acidovorax_defluvii
006791-0-000,Acidovorax_defluvii
019661-0-000,Acidovorax_defluvii
020818-0-000,Acidovorax_defluvii
02404-0-002,Acidovorax_defluvii
02482-0-001,Acidovorax_defluvii
025296-0-001,Acidovorax_defluvii
02727-0-001,Acidovorax_defluvii
64027-0-000,Acidovorax_defluvii
64390-0-000,Acidovorax_defluvii
64629-0-000,Acidovorax_defluvii
65174-0-000,Acidovorax_defluvii
65175-0-000,Acidovorax_defluvii
65387-0-000,Acidovorax_defluvii
65416-0-000,Acidovorax_defluvii
006791-0-000,Acidovorax_delafieldii
02404-0-002,Acidovorax_delafieldii
02636-0-000,Acidovorax_delafieldii
64390-0-000,Acidovorax_delafieldii
65174-0-000,Acidovorax_delafieldii
65175-0-000,Acidovorax_delafieldii
006791-0-000,Acidovorax_facilis
013185-0-000,Acidovorax_facilis
014514-0-000,Acidovorax_facilis
019661-0-000,Acidovorax_facilis
020818-0-000,Acidovorax_facilis
02276-0-000,Acidovorax_facilis
02404-0-002,Acidovorax_facilis
025296-0-001,Acidovorax_facilis
02538-0-000,Acidovorax_facilis
02727-0-001,Acidovorax_facilis
63733-0-000,Acidovorax_facilis
63963-0-000,Acidovorax_facilis
64027-0-000,Acidovorax_facilis
64663-0-003,Acidovorax_facilis
65174-0-000,Acidovorax_facilis
65175-0-000,Acidovorax_facilis
006791-0-000,Acidovorax_konjaci
020818-0-000,Acidovorax_konjaci
025296-0-001,Acidovorax_konjaci
02727-0-001,Acidovorax_konjaci
64390-0-000,Acidovorax_konjaci
65174-0-000,Acidovorax_konjaci
65175-0-000,Acidovorax_konjaci
65387-0-000,Acidovorax_konjaci
019661-0-000,Acidovorax_soli
025296-0-001,Acidovorax_soli
02562-0-000,Acidovorax_sp.
65174-0-000,Acidovorax_sp.
02404-0-002,Acidovorax_temperans
02727-0-001,Acidovorax_temperans
64390-0-000,Acidovorax_temperans
65174-0-000,Acidovorax_temperans
65175-0-000,Acidovorax_temperans
65387-0-000,Acidovorax_temperans
02404-0-002,Acidovorax_valerianellae
025296-0-001,Acidovorax_valerianellae
02727-0-001,Acidovorax_valerianellae
64070-0-000,Acidovorax_valerianellae
64390-0-000,Acidovorax_valerianellae
65174-0-000,Acidovorax_valerianellae
65175-0-000,Acidovorax_valerianellae
65315-0-000,Acidovorax_valerianellae
65387-0-000,Acidovorax_valerianellae
027045-0-000,Acinetobacter_calcoaceticus
001230-0-000,Acinetobacter_baumannii
013656-0-000,Acinetobacter_baumannii
027045-0-000,Acinetobacter_baumannii
027045-0-001,Acinetobacter_baumannii
027045-0-002,Acinetobacter_baumannii
63250-0-001,Acinetobacter_baumannii
001230-0-000,Acinetobacter_baylyi
001230-0-001,Acinetobacter_baylyi
003541-0-000,Acinetobacter_baylyi
013656-0-000,Acinetobacter_baylyi
013656-0-001,Acinetobacter_baylyi
02486-0-000,Acinetobacter_baylyi
027045-0-000,Acinetobacter_baylyi
027045-0-001,Acinetobacter_baylyi
027045-0-002,Acinetobacter_baylyi
65129-0-001,Acinetobacter_baylyi
001230-0-000,Acinetobacter_beijerinckii
001230-0-001,Acinetobacter_beijerinckii
013656-0-000,Acinetobacter_beijerinckii
013656-0-001,Acinetobacter_beijerinckii
027045-0-000,Acinetobacter_beijerinckii
027045-0-001,Acinetobacter_beijerinckii
001230-0-000,Acinetobacter_bereziniae
013656-0-000,Acinetobacter_bereziniae
013656-0-001,Acinetobacter_bereziniae
027045-0-001,Acinetobacter_bereziniae
001230-0-000,Acinetobacter_bouvetii
001230-0-001,Acinetobacter_bouvetii
002220-0-000,Acinetobacter_bouvetii
003541-0-000,Acinetobacter_bouvetii
013656-0-000,Acinetobacter_bouvetii
013656-0-001,Acinetobacter_bouvetii
02486-0-000,Acinetobacter_bouvetii
027045-0-000,Acinetobacter_bouvetii
65129-0-001,Acinetobacter_bouvetii
65470-0-000,Acinetobacter_bouvetii
001230-0-000,Acinetobacter_calcoaceticus
001230-0-001,Acinetobacter_calcoaceticus
003541-0-000,Acinetobacter_calcoaceticus
006205-0-000,Acinetobacter_calcoaceticus
007195-0-000,Acinetobacter_calcoaceticus
013656-0-000,Acinetobacter_calcoaceticus
013656-0-001,Acinetobacter_calcoaceticus
016626-0-000,Acinetobacter_calcoaceticus
016782-0-000,Acinetobacter_calcoaceticus
02242-0-000,Acinetobacter_calcoaceticus
023994-0-000,Acinetobacter_calcoaceticus
02486-0-000,Acinetobacter_calcoaceticus
02686-0-000,Acinetobacter_calcoaceticus
029058-0-000,Acinetobacter_calcoaceticus
03030-0-002,Acinetobacter_calcoaceticus
63096-0-000,Acinetobacter_calcoaceticus
63140-0-000,Acinetobacter_calcoaceticus
63464-0-000,Acinetobacter_calcoaceticus
63682-0-000,Acinetobacter_calcoaceticus
63999-0-000,Acinetobacter_calcoaceticus
65039-0-000,Acinetobacter_calcoaceticus
65129-0-001,Acinetobacter_calcoaceticus
65685-0-000,Acinetobacter_calcoaceticus
001230-0-000,Acinetobacter_genomosp.
013656-0-000,Acinetobacter_genomosp.
027045-0-001,Acinetobacter_genomosp.
001230-0-000,Acinetobacter_gerneri
001230-0-001,Acinetobacter_gerneri
003541-0-000,Acinetobacter_gerneri
013656-0-000,Acinetobacter_gerneri
013656-0-001,Acinetobacter_gerneri
02486-0-000,Acinetobacter_gerneri
027045-0-000,Acinetobacter_gerneri
027045-0-001,Acinetobacter_gerneri
65129-0-001,Acinetobacter_gerneri
001230-0-000,Acinetobacter_guillouiae
001230-0-001,Acinetobacter_guillouiae
003541-0-000,Acinetobacter_guillouiae
013656-0-000,Acinetobacter_guillouiae
013656-0-001,Acinetobacter_guillouiae
02486-0-000,Acinetobacter_guillouiae
027045-0-000,Acinetobacter_guillouiae
027045-0-001,Acinetobacter_guillouiae
65129-0-001,Acinetobacter_guillouiae
001230-0-000,Acinetobacter_gyllenbergii
001230-0-001,Acinetobacter_gyllenbergii
013656-0-000,Acinetobacter_gyllenbergii
013656-0-001,Acinetobacter_gyllenbergii
027045-0-001,Acinetobacter_gyllenbergii
001230-0-000,Acinetobacter_haemolyticus
013656-0-000,Acinetobacter_haemolyticus
013656-0-001,Acinetobacter_haemolyticus
027045-0-000,Acinetobacter_haemolyticus
027045-0-001,Acinetobacter_haemolyticus
027045-0-002,Acinetobacter_haemolyticus
63250-0-001,Acinetobacter_haemolyticus
65039-0-000,Acinetobacter_haemolyticus
001230-0-000,Acinetobacter_johnsonii
013656-0-000,Acinetobacter_johnsonii
02486-0-000,Acinetobacter_johnsonii
027045-0-001,Acinetobacter_johnsonii
027045-0-002,Acinetobacter_johnsonii
001230-0-000,Acinetobacter_junii
001230-0-001,Acinetobacter_junii
013656-0-000,Acinetobacter_junii
013656-0-001,Acinetobacter_junii
02486-0-000,Acinetobacter_junii
027045-0-000,Acinetobacter_junii
001230-0-000,Acinetobacter_lwoffii
001230-0-001,Acinetobacter_lwoffii
013656-0-000,Acinetobacter_lwoffii
02242-0-000,Acinetobacter_lwoffii
02486-0-000,Acinetobacter_lwoffii
027045-0-000,Acinetobacter_lwoffii
027045-0-001,Acinetobacter_lwoffii
027045-0-002,Acinetobacter_lwoffii
63140-0-000,Acinetobacter_lwoffii
001230-0-000,Acinetobacter_nosocomialis
013656-0-000,Acinetobacter_nosocomialis
027045-0-001,Acinetobacter_nosocomialis
001230-0-000,Acinetobacter_parvus
001230-0-001,Acinetobacter_parvus
003541-0-000,Acinetobacter_parvus
013656-0-000,Acinetobacter_parvus
023994-0-000,Acinetobacter_parvus
027045-0-000,Acinetobacter_parvus
027045-0-001,Acinetobacter_parvus
65039-0-000,Acinetobacter_parvus
65129-0-001,Acinetobacter_parvus
001230-0-000,Acinetobacter_pittii
013656-0-000,Acinetobacter_pittii
027045-0-001,Acinetobacter_pittii
001230-0-000,Acinetobacter_radioresistens
013656-0-000,Acinetobacter_radioresistens
027045-0-000,Acinetobacter_radioresistens
027045-0-000,Acinetobacter_rudis
027045-0-001,Acinetobacter_rudis
027045-0-002,Acinetobacter_rudis
001230-0-000,Acinetobacter_schindleri
001230-0-001,Acinetobacter_schindleri
003541-0-000,Acinetobacter_schindleri
013656-0-000,Acinetobacter_schindleri
013656-0-001,Acinetobacter_schindleri
65129-0-001,Acinetobacter_schindleri
027045-0-000,Acinetobacter_soli
027045-0-001,Acinetobacter_soli
027045-0-002,Acinetobacter_soli
001230-0-000,Acinetobacter_sp.
013656-0-000,Acinetobacter_sp.
027045-0-001,Acinetobacter_sp.
027045-0-002,Acinetobacter_sp.
001230-0-000,Acinetobacter_tandoii
001230-0-001,Acinetobacter_tandoii
003541-0-000,Acinetobacter_tandoii
013656-0-000,Acinetobacter_tandoii
013656-0-001,Acinetobacter_tandoii
02486-0-000,Acinetobacter_tandoii
027045-0-000,Acinetobacter_tandoii
65129-0-001,Acinetobacter_tandoii
001230-0-000,Acinetobacter_tjernbergiae
001230-0-001,Acinetobacter_tjernbergiae
003541-0-000,Acinetobacter_tjernbergiae
013656-0-001,Acinetobacter_tjernbergiae
02486-0-000,Acinetobacter_tjernbergiae
027045-0-000,Acinetobacter_tjernbergiae
65129-0-001,Acinetobacter_tjernbergiae
001230-0-000,Acinetobacter_towneri
001230-0-001,Acinetobacter_towneri
003541-0-000,Acinetobacter_towneri
013656-0-000,Acinetobacter_towneri
013656-0-001,Acinetobacter_towneri
02486-0-000,Acinetobacter_towneri
027045-0-000,Acinetobacter_towneri
027045-0-001,Acinetobacter_towneri
65129-0-001,Acinetobacter_towneri
001230-0-000,Acinetobacter_ursingii
001230-0-001,Acinetobacter_ursingii
003541-0-000,Acinetobacter_ursingii
013656-0-000,Acinetobacter_ursingii
013656-0-001,Acinetobacter_ursingii
02486-0-000,Acinetobacter_ursingii
027045-0-000,Acinetobacter_ursingii
027045-0-001,Acinetobacter_ursingii
65129-0-001,Acinetobacter_ursingii
001230-0-000,Acinetobacter_venetianus
001230-0-001,Acinetobacter_venetianus
003541-0-000,Acinetobacter_venetianus
013656-0-000,Acinetobacter_venetianus
013656-0-001,Acinetobacter_venetianus
02486-0-000,Acinetobacter_venetianus
027045-0-000,Acinetobacter_venetianus
027045-0-001,Acinetobacter_venetianus
027045-0-002,Acinetobacter_venetianus
65129-0-001,Acinetobacter_venetianus
003228-0-001,Acrocarpospora_corrugata
006130-0-000,Acrocarpospora_corrugata
010579-0-000,Acrocarpospora_corrugata
016899-0-000,Acrocarpospora_corrugata
022186-0-001,Acrocarpospora_corrugata
02400-0-003,Acrocarpospora_corrugata
024315-0-000,Acrocarpospora_corrugata
02565-0-001,Acrocarpospora_corrugata
027151-0-000,Acrocarpospora_corrugata
02981-0-000,Acrocarpospora_corrugata
022186-0-001,Acrocarpospora_macrocephala
027151-0-000,Acrocarpospora_macrocephala
02981-0-000,Acrocarpospora_macrocephala
63559-0-000,Acrocarpospora_macrocephala
02256-0-001,Acrosiphonia_sp.
02256-0-002,Acrosiphonia_sp.
007930-0-000,Actibacter_sediminis
009027-0-000,Actibacter_sediminis
010504-0-000,Actibacter_sediminis
65346-0-000,Actibacter_sediminis
012237-0-001,Actinoallomurus_acaciae
022509-0-001,Actinoallomurus_acaciae
006858-0-000,Actinoallomurus_amamiensis
012237-0-001,Actinoallomurus_amamiensis
017608-0-001,Actinoallomurus_amamiensis
029546-0-001,Actinoallomurus_amamiensis
006858-0-000,Actinoallomurus_caesius
017608-0-001,Actinoallomurus_caesius
006858-0-000,Actinoallomurus_coprocola
012237-0-001,Actinoallomurus_coprocola
017608-0-001,Actinoallomurus_coprocola
022509-0-001,Actinoallomurus_coprocola
006858-0-000,Actinoallomurus_fulvus
017608-0-001,Actinoallomurus_fulvus
006858-0-000,Actinoallomurus_iriomotensis
017608-0-001,Actinoallomurus_iriomotensis
001479-0-001,Actinoallomurus_spadix
003640-0-001,Actinoallomurus_spadix
005231-0-001,Actinoallomurus_spadix
006858-0-000,Actinoallomurus_spadix
012211-0-000,Actinoallomurus_spadix
017608-0-001,Actinoallomurus_spadix
02243-0-001,Actinoallomurus_spadix
029546-0-001,Actinoallomurus_spadix
63943-0-001,Actinoallomurus_spadix
64864-0-001,Actinoallomurus_spadix
001982-0-000,Actinoalloteichus_cyanogriseus
009878-0-000,Actinoalloteichus_cyanogriseus
023036-0-001,Actinoalloteichus_cyanogriseus
64217-0-001,Actinoalloteichus_cyanogriseus
023283-0-000,Actinoalloteichus_hymeniacidonis
64217-0-001,Actinoalloteichus_hymeniacidonis
019588-0-000,Actinoalloteichus_spitiensis
023283-0-000,Actinoalloteichus_spitiensis
027482-0-001,Actinoalloteichus_spitiensis
64217-0-001,Actinoalloteichus_spitiensis
007203-0-000,Actinobacillus_lignieresii
019026-0-000,Actinobacillus_lignieresii
024174-0-000,Actinobacillus_lignieresii
02797-0-000,Actinobacillus_lignieresii
63119-0-001,Actinobacillus_lignieresii
63357-0-000,Actinobacillus_lignieresii
64521-0-001,Actinobacillus_lignieresii
64879-0-000,Actinobacillus_lignieresii
004465-0-000,Actinobaculum_massiliense
63923-0-002,Actinobaculum_massiliense
020032-0-000,Actinobaculum_schaalii
02422-0-000,Actinobaculum_schaalii
004465-0-000,Actinobaculum_urinale
020032-0-000,Actinobaculum_urinale
02422-0-000,Actinobaculum_urinale
65226-0-000,Actinobaculum_urinale
010231-0-001,Actinocatenispora_thailandica
010793-0-001,Actinocatenispora_thailandica
012922-0-000,Actinocatenispora_thailandica
016477-0-001,Actinocatenispora_thailandica
64081-0-001,Actinocatenispora_thailandica
65211-0-001,Actinocatenispora_thailandica
65270-0-000,Actinocatenispora_thailandica
65410-0-001,Actinocatenispora_thailandica
65548-0-000,Actinocatenispora_thailandica
017608-0-001,Actinocorallia_aurantiaca
029546-0-001,Actinocorallia_aurantiaca
